subject,tvs_aan_amplitude,tvs_express_amplitude
sub-001,1.1089854561973687,0.15305271186996922
sub-003,0.9938100150069412,0.15021228564145195
sub-004,1.0505378342488434,0.16500000267858167
sub-005,0.8798868099189198,0.17084541534509393
sub-006,1.0782012623708812,0.11853502476827485
sub-007,0.9787922483157343,0.1725351973478494
sub-008,0.9199427346236984,0.11999786941917591
sub-009,0.9933490266945674,0.13462825641169157
sub-010,0.9218803637834586,0.1708086846219776
sub-011,0.9260873789728661,0.12252215918078872
sub-012,1.0870908612876915,0.11469104201794852
sub-013,0.9959170606160578,0.13993302717907277
sub-014,0.9945424684225564,0.07612734607482642
sub-015,0.9829128659390675,0.22080899490389222
sub-016,1.0421099461047065,0.14885877793515995
sub-017,0.8328727504361123,0.17795650739921018
sub-018,1.00755852995707,0.15408051402840825
sub-019,1.1604265152172666,0.09545008202204307
sub-020,1.0569987584103708,0.18126605166158147
sub-021,1.0448437153452579,0.1868349445787853
sub-022,1.0642360158585573,0.16316802693365334
sub-023,1.0106519756693968,0.15261670499355942
sub-024,0.9913860389245944,0.1464479496580282
sub-025,0.910560239928075,0.17493605322265413
sub-026,0.9368071876494819,0.10639110001512961
sub-027,1.0881130006243658,0.1477229098432274
sub-028,0.9779009186687528,0.15372277746716978
sub-029,1.0100623752130193,0.17432936321336404
sub-030,1.0031626974998957,0.13127377834059295
sub-031,1.001694775992633,0.14426692988400744
sub-032,1.0625739608904232,0.1581115866365425
sub-033,1.0500677963602774,0.15820671493165206
sub-034,1.1254908695857078,0.116982363995951
sub-035,1.066237443197192,0.1381945114993385
sub-036,0.9698658840253864,0.15493109856347786
sub-037,1.0001730748331297,0.1403891417420052
sub-038,0.9213965456088051,0.15445332907082276
sub-039,1.0766171469204522,0.17805354581999377
sub-040,1.064503469998097,0.14445331776920364
sub-041,0.9653429744039035,0.1811755829601126
sub-042,1.0487029178022789,0.12643475099251097
sub-043,1.0258507413742648,0.14978672703096924
sub-044,1.018308865445234,0.16505158111443496
sub-045,0.9871366515589032,0.18870632493266892
sub-046,1.2083537359233492,0.14650193007303733
